Dataset,Model,Seed,KFold_Seed,N_Features,RMSE,MAE,R2,MAPE,RMSE_Train,MAE_Train,R2_Train,MAPE_Train
2018,XGB,1624411032,1624411032,19,0.6211558124458554,0.4718769598620227,0.8681600135631541,1.8039074601611158,0.35144103019079553,0.26377447988646996,0.9578552686962738,1.006416622942795
2018,LGB,1624411032,1624411032,19,0.6542404222150778,0.5084107831753863,0.8537627675674913,1.9440950916021598,0.5492602112114066,0.42833006528005646,0.8970782123630349,1.6387099765073632
2021,XGB,1624411032,1624411032,19,0.5809536805383855,0.4414435818136607,0.8192913577159869,1.5823520719890496,0.33128568284248544,0.2492127935458664,0.9413577068953749,0.893997955318689
2021,LGB,1624411032,1624411032,19,0.6211013173987942,0.48114002061344047,0.7936065708231027,1.7239183230459663,0.5227707555543781,0.40839848294168124,0.8540029664349152,1.4643712184968845
